GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rompecabezas3,rompecabezas.interfaz,FichaTransferHandler.FichaTransferable,37,0,2,0,9,0,5,0,4,0
rompecabezas3,rompecabezas.interfaz,FichaTransferHandler,110,0,14,0,31,0,13,0,6,0
rompecabezas3,rompecabezas.interfaz,PanelOrdenamientoFichas,283,0,8,0,73,0,10,0,6,0
rompecabezas3,rompecabezas.interfaz,DTImagenFicha,94,0,10,0,31,0,14,0,9,0
rompecabezas3,rompecabezas.interfaz,Imagen,15,0,0,0,6,0,3,0,3,0
rompecabezas3,rompecabezas.interfaz,PanelExtension,75,0,4,0,19,0,4,0,2,0
rompecabezas3,rompecabezas.interfaz,InterfazRompecabezas,709,0,16,0,153,0,30,0,22,0
rompecabezas3,rompecabezas.interfaz,PanelFigura,268,0,14,0,62,0,14,0,7,0
rompecabezas3,rompecabezas.interfaz,ImagenFicha,136,0,10,0,50,0,18,0,13,0
rompecabezas3,rompecabezas.interfaz,PanelFichas,171,0,8,0,40,0,9,0,5,0
rompecabezas3,rompecabezas.interfaz,PanelFiguras,738,0,14,0,159,0,15,0,8,0
rompecabezas3,rompecabezas.mundo,Figura,100,666,32,104,9,141,33,61,1,25
rompecabezas3,rompecabezas.mundo,JuegoRompecabezas,193,352,24,46,41,83,29,32,9,17
rompecabezas3,rompecabezas.mundo,Ficha,52,97,6,16,8,32,4,18,1,10
